Domain adı,Fonksiyon_1,,Domain adı,Fonksiyon_2_cdp,,Domain adı,Fonksiyon_3_cdp,,Domain adı,Detay_Ticaret,,
,,,,,,58,ÇOCUK YETİŞTİRME YURDU,,13,M - GAYRİMENKUL FAALİYETLERİ,,
,,,,,,59,BİRİNCİ BASAMAK SAĞLIK TESİSİ ALANI,,14,"N - MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER",,
,,,,,,60,İKİNCİ BASAMAK SAĞLIK TESİSİ ALANI,,15,O - İDARİ VE DESTEK HİZMET FAALİYETLERİ,,
,,,,,,61,ÜÇÜNCÜ BASAMAK SAĞLIK TESİSİ ALANI,,16,P - KAMU YÖNETİMİ VE SAVUNMA; ZORUNLU SOSYAL GÜVENLİK,,
,,,,,,62,AÇIK SPOR ALANI,,17,Q - EĞİTİM,,
,,,,,,63,KAPALI SPOR ALANI,,18,R - İNSAN SAĞLIĞI VE SOSYAL HİZMET FAALİYETLERİ,,
,,,,,,64,KARMA SPOR KOMPLEKSİ,,19,"S - SANAT, SPOR VE EĞLENCE (REKREASYON) FAALİYETLERİ",,
,,,,,,65,KENTSEL VE BÖLGESEL SPOR ALANI,,20,T - DİĞER HİZMET FAALİYETLERİ,,
,,,,,,66,ÖZEL SPOR TESİSLERİ,,21,U - HANEHALKLARININ İŞVEREN VE KENDİ KULLANIMLARINA YÖNELİK MAL VE HİZMET ÜRETİM FAALİYETLERİ,,
,,,,,,67,KENT ORMANI,,22,V - ULUSLARARASI ÖRGÜTLER VE TEMSİLCİLİKLERİNİN FAALİYETLERİ,,
,,,,,,68,TABİAT PARKI,,23,"Y - KENDİ ADINA MENKUL SERMAYE İRADI FAALİYETLERİ (TEMETTÜ, BANKA FAİZİ, İŞTİRAK KAZANÇLARI VB.)",,
,,,,,,69,ORMAN PARKI,,,,,
,,,,,,70,ARBORETUM,,,,,
,,,,,,71,ORMAN ALANI,,,,,
,,,,,,72,MAKİLİK-FUNDALIK ALAN,,,,,
,,,,,,73,TARIM ALANI,,,,,
,,,,,,74,SERA,,,,,
,,,,,,75,KENTİÇİ TARIM ALANI,,,,,
,,,,,,76,MERA ALANI,,,,,
,,,,,,77,HAYVANCILIK ALANI,,,,,
,,,,,,78,KIYI-KUMUL- KAYALIK ALAN,,,,,
,,,,,,79,KUMSAL - PLAJ ALANI,,,,,
,,,,,,80,AÇIK OTOPARK,,,,,
,,,,,,81,KAPALI OTOPARK,,,,,
,,,,,,82,"TIR, KAMYON, MAKİNE PARKI VE GARAJ ALANI",,,,,
,,,,,,83,TERMİNAL-OTOGAR,,,,,
,,,,,,84,TOPLU TAŞIMA GARAJI/ANA DURAK,,,,,
,,,,,,85,İSKELE/RIHTIM,,,,,
,,,,,,86,LİMAN,,,,,
,,,,,,87,ANA İSTASYON (GAR),,,,,
,,,,,,88,ARA İSTASYON,,,,,
,,,,,,89,TRİYAJ ALANI ,,,,,
,,,,,,90,DEMİRYOLU ALANI ,,,,,
,,,,,,91,HAVALİMANI/HAVAALANI,,,,,
,,,,,,92,HELİPORT,,,,,
,,,,,,93,AKTARMA ALANI,,,,,
,,,,,,94,YAT LİMANI (MARİNA),,,,,
,,,,,,95,TEKNE ÇEKEK YERİ/BALIKÇI BARINAĞI,,,,,
,,,,,,96,KIYI KORUMA YAPISI ,,,,,
,,,,,,97,GÜNEŞ ENERJİSİ SANTRALİ,,,,,
,,,,,,98,RÜZGAR ENERJİSİ SANTRALİ,,,,,
,,,,,,99,DOĞALGAZ İLETİM/DAĞITIM TESİSİ ALANI,,,,,
,,,,,,100,HİDRO ELEKTRİK SANTRAL ALANI,,,,,
,,,,,,101,JEOTERMAL TESİS ALANI,,,,,
,,,,,,102,AKARYAKIT ÜRÜNLERİ DEPOLAMA ALANI,,,,,
,,,,,,103,YANICI PARLAYICI ve PATLAYICI MADDELER ÜRETİM VE DEPO ALANI,,,,,
,,,,,,104,ELEKTRONİK HABERLEŞME ALTYAPI ALANI,,,,,
,,,,,,105,ENERJİ ÜRETİM/DEPOLAMA ALANI,,,,,
,,,,,,106,TRAFO ALANI / İNDİRİCİ MERKEZLER,,,,,
,,,,,,107,REGÜLATÖR ALANI,,,,,
,,,,,,108,ATIKSU TESİSLERİ ALANI (ARITMA-TERFİ MERKEZİ),,,,,
,,,,,,109,İÇME SUYU TESİSLERİ ALANI (DEPOLAMA-ARITMA-TERFİ MERKEZİ),,,,,
,,,,,,110,SU KAYNAKLARI TOPLAMA YERİ (KAPTAJ ALANI),,,,,
,,,,,,111,KATI ATIK TESİSLERİ ALANI,,,,,
,,,,,,112,TEHLİKELİ ATIK TESİSLERİ ALANI,,,,,
,,,,,,113,GERİ DÖNÜŞÜM TESİSİ,,,,,
,,,,,,114,DENİZ,,,,,
,,,,,,115,GÖL,,,,,
,,,,,,116,SULAK ALAN,,,,,
,,,,,,117,AKARSU/DERE,,,,,
,,,,,,118,BARAJ,,,,,
,,,,,,119,İNŞAATI DEVAM EDEN ALAN,,,,,
,,,,,,120,YAPILAŞMAMIŞ ALAN,,,,,
,,,,,,121,ARKEOLOJİK ALAN,,,,,
,,,,,,122,SÜRECİ VE KULLANIMI BELİRSİZ ALAN,,,,,
,,,,,,123,MEYDAN-YOP,,,,,
,,,,,,124,PARK-YOP,,,,,
,,,,,,125,İLK-ORTAOKUL-LİSE ALANI,,,,,
,,,,,,126,ÖZEL ÖĞRETİM KURUMU,,,,,
,,,,,,127,MİLLET BAHÇESİ,,,,,
,,,,,,128,FİDANLIK,,,,,
,,,,,,129,MESLEKİ VE TOPLUMSAL ALAN,,,,,
,,,,,,130,PAZAR ALANI-OP,,,,,
,,,,,,131,REKREASYON ALANI,,,,,
,,,,,,132,METROBÜS ALANI,,,,,
